"product_code","invoice_expired_dt","establishment_id","paid"
mobile,2024-12-20,95,0.00000000000000000000
mobile,2025-01-20,95,0.00000000000000000000
cardapio_digital,2024-12-20,98,494.8600000000000000
cardapio_digital,2025-01-20,98,494.8600000000000000
mobile,2024-12-20,98,0.00000000000000000000
mobile,2025-01-20,98,0.00000000000000000000
cardapio_digital,2024-12-10,101,589.0000000000000000
cardapio_digital,2025-01-10,101,589.0000000000000000
mobile,2024-12-10,101,0.00000000000000000000
mobile,2025-01-10,101,0.00000000000000000000
cardapio_digital,2025-01-05,103,238.0000000000000000
cardapio_digital,2025-02-05,103,238.0000000000000000
mobile,2025-01-05,103,119.6000000000000000
mobile,2025-02-05,103,119.6000000000000000
cardapio_digital,2024-12-05,112,581.0000000000000000
cardapio_digital,2025-01-05,112,581.0000000000000000
cardapio_digital,2025-02-05,112,581.0000000000000000
mobile,2024-12-05,112,0.00000000000000000000
mobile,2025-01-05,112,0.00000000000000000000
mobile,2025-02-05,112,0.00000000000000000000
cardapio_digital,2024-03-28,114,949.9000000000000000
cardapio_digital,2024-04-28,114,949.9000000000000000
cardapio_digital,2024-05-28,114,949.9000000000000000
cardapio_digital,2024-06-28,114,949.9000000000000000
cardapio_digital,2024-07-28,114,979.9000000000000000
cardapio_digital,2024-08-28,114,979.9000000000000000
cardapio_digital,2024-09-28,114,979.9000000000000000
cardapio_digital,2024-10-28,114,979.9000000000000000
cardapio_digital,2024-11-28,114,979.9000000000000000
cardapio_digital,2024-12-28,114,979.9000000000000000
cardapio_digital,2025-01-28,114,979.9000000000000000
cardapio_digital,2024-06-25,144,619.9000000000000000
cardapio_digital,2024-07-26,144,619.9000000000000000
cardapio_digital,2024-08-26,144,619.9000000000000000
cardapio_digital,2024-09-26,144,619.9000000000000000
cardapio_digital,2024-10-26,144,619.9000000000000000
cardapio_digital,2024-11-26,144,619.9000000000000000
cardapio_digital,2024-12-26,144,619.9000000000000000
cardapio_digital,2025-01-26,144,619.9000000000000000
cardapio_digital,2024-12-05,165,1438.93000000000000000000
cardapio_digital,2025-01-05,165,1438.93000000000000000000
cardapio_digital,2025-02-05,165,1438.93000000000000000000
mobile,2024-12-05,165,0.00000000000000000000
mobile,2025-01-05,165,0.00000000000000000000
mobile,2025-02-05,165,0.00000000000000000000
cardapio_digital,2024-12-10,166,930.1000000000000000
cardapio_digital,2024-12-16,166,930.1000000000000000
cardapio_digital,2025-01-10,166,930.1000000000000000
mobile,2024-12-10,166,0.00000000000000000000
mobile,2024-12-16,166,0.00000000000000000000
mobile,2025-01-10,166,0.00000000000000000000
cardapio_digital,2024-11-10,171,589.9000000000000000
cardapio_digital,2024-12-18,171,199.0000000000000000
cardapio_digital,2025-01-18,171,394.0000000000000000
delivery,2024-03-02,174,184.9000000000000000
delivery,2024-03-01,180,99.9000000000000000
delivery,2024-04-01,180,99.9000000000000000
mobile,2024-03-02,181,99.9000000000000000
delivery,2024-04-06,184,99.9000000000000000
delivery,2024-05-06,184,99.9000000000000000
delivery,2024-06-11,184,99.9000000000000000
delivery,2024-07-06,184,99.9000000000000000
delivery,2024-03-08,197,99.9000000000000000
delivery,2024-03-12,197,97.9000000000000000
delivery,2024-04-19,197,99.9000000000000000
delivery,2024-05-19,197,99.9000000000000000
delivery,2024-06-19,197,99.9000000000000000
delivery,2024-07-19,197,99.9000000000000000
delivery,2024-08-19,197,99.9000000000000000
delivery,2024-09-19,197,99.9000000000000000
delivery,2024-10-19,197,99.9000000000000000
delivery,2024-11-19,197,99.9000000000000000
delivery,2024-12-19,197,99.9000000000000000
delivery,2025-01-19,197,99.9000000000000000
cardapio_digital,2024-12-20,200,1321.9000000000000000
cardapio_digital,2025-01-20,200,1321.9000000000000000
mobile,2024-12-20,200,0.00000000000000000000
mobile,2025-01-20,200,0.00000000000000000000
cardapio_digital,2025-01-21,202,504.9000000000000000
mobile,2025-01-21,202,0.00000000000000000000
delivery,2024-03-02,205,184.9000000000000000
delivery,2024-04-02,205,184.9000000000000000
delivery,2024-03-01,227,99.9000000000000000
cardapio_digital,2024-12-15,231,405.9600000000000000
cardapio_digital,2025-01-15,231,405.9600000000000000
mobile,2024-12-15,231,0.00000000000000000000
mobile,2025-01-15,231,0.00000000000000000000
cardapio_digital,2024-11-10,236,550.0000000000000000
cardapio_digital,2024-12-10,236,550.0000000000000000
cardapio_digital,2025-01-10,236,550.0000000000000000
mobile,2024-11-10,236,99.0000000000000000
mobile,2024-12-10,236,99.0000000000000000
mobile,2025-01-10,236,99.0000000000000000
mobile,2024-12-05,237,300.0000000000000000
delivery,2024-03-01,246,99.9000000000000000
delivery,2024-04-01,246,99.9000000000000000
delivery,2024-05-01,246,99.9000000000000000
delivery,2024-06-01,246,99.9000000000000000
delivery,2024-07-01,246,99.9000000000000000
delivery,2024-08-01,246,99.9000000000000000
delivery,2024-09-01,246,99.9000000000000000
delivery,2024-10-01,246,99.9000000000000000
delivery,2024-11-01,246,99.9000000000000000
delivery,2024-12-01,246,99.9000000000000000
delivery,2025-01-01,246,99.9000000000000000
delivery,2024-03-03,294,99.9000000000000000
